Episode,Score,ExplorationRate
1,0,1.0
2,0,0.997
3,0,0.994
4,3,0.991
5,0,0.988
6,0,0.985
7,0,0.982
8,4,0.979
9,1,0.976
10,0,0.973
11,0,0.97
12,0,0.967
13,0,0.964
14,1,0.961
15,1,0.958
16,1,0.955
17,1,0.952
18,0,0.949
19,0,0.946
20,0,0.943
21,1,0.94
22,1,0.9369999999999999
23,4,0.9339999999999999
24,1,0.9309999999999999
25,3,0.9279999999999999
26,1,0.9249999999999999
27,0,0.9219999999999999
28,1,0.9189999999999999
29,3,0.9159999999999999
30,0,0.9129999999999999
31,0,0.9099999999999999
32,0,0.9069999999999999
33,0,0.9039999999999999
34,0,0.9009999999999999
35,1,0.8979999999999999
36,2,0.8949999999999999
37,0,0.8919999999999999
38,0,0.8889999999999999
39,1,0.8859999999999999
40,0,0.8829999999999999
41,0,0.8799999999999999
42,0,0.8769999999999999
43,0,0.8739999999999999
44,0,0.8709999999999999
45,0,0.8679999999999999
46,1,0.8649999999999999
47,0,0.8619999999999999
48,3,0.8589999999999999
49,0,0.8559999999999999
50,2,0.8529999999999999
51,2,0.8499999999999999
52,0,0.8469999999999999
53,0,0.8439999999999999
54,0,0.8409999999999999
55,0,0.8379999999999999
56,3,0.8349999999999999
57,2,0.8319999999999999
58,0,0.8289999999999998
59,0,0.8259999999999998
60,1,0.8229999999999998
61,1,0.8199999999999998
62,0,0.8169999999999998
63,0,0.8139999999999998
64,0,0.8109999999999998
65,2,0.8079999999999998
66,0,0.8049999999999998
67,0,0.8019999999999998
68,0,0.7989999999999998
69,3,0.7959999999999998
70,0,0.7929999999999998
71,0,0.7899999999999998
72,0,0.7869999999999998
73,1,0.7839999999999998
74,1,0.7809999999999998
75,2,0.7779999999999998
76,1,0.7749999999999998
77,3,0.7719999999999998
78,1,0.7689999999999998
79,1,0.7659999999999998
80,2,0.7629999999999998
81,0,0.7599999999999998
82,3,0.7569999999999998
83,1,0.7539999999999998
84,0,0.7509999999999998
85,0,0.7479999999999998
86,0,0.7449999999999998
87,0,0.7419999999999998
88,0,0.7389999999999998
89,0,0.7359999999999998
90,3,0.7329999999999998
91,1,0.7299999999999998
92,0,0.7269999999999998
93,0,0.7239999999999998
94,3,0.7209999999999998
95,2,0.7179999999999997
96,2,0.7149999999999997
97,2,0.7119999999999997
98,3,0.7089999999999997
99,0,0.7059999999999997
100,0,0.7029999999999997
101,0,0.6999999999999997
102,0,0.6969999999999997
103,4,0.6939999999999997
104,3,0.6909999999999997
105,2,0.6879999999999997
106,3,0.6849999999999997
107,0,0.6819999999999997
108,1,0.6789999999999997
109,2,0.6759999999999997
110,2,0.6729999999999997
111,0,0.6699999999999997
112,2,0.6669999999999997
113,2,0.6639999999999997
114,0,0.6609999999999997
115,0,0.6579999999999997
116,0,0.6549999999999997
117,0,0.6519999999999997
118,4,0.6489999999999997
119,1,0.6459999999999997
120,2,0.6429999999999997
121,1,0.6399999999999997
122,1,0.6369999999999997
123,1,0.6339999999999997
124,2,0.6309999999999997
125,3,0.6279999999999997
126,1,0.6249999999999997
127,3,0.6219999999999997
128,0,0.6189999999999997
129,4,0.6159999999999997
